category,Total Sales
2021-10-05,10
2021-10-06,3
2021-10-07,2
2021-10-08,13
2021-10-09,12
2021-10-11,7
2021-10-12,7
2021-10-14,12
2021-10-15,2
2021-10-16,1
2021-10-18,2
2021-10-19,3
2021-10-20,13
2021-10-21,33
2021-10-22,9
2021-10-23,3
2021-10-26,12
2021-10-27,49
2021-10-28,48
2021-10-29,8
2021-10-30,2
2021-11-01,20
2021-11-02,2
2021-11-03,16
2021-11-04,11
2021-11-05,9
2021-11-06,22
2021-11-08,2
2021-11-09,5
2021-11-10,6
2021-11-11,27
2021-11-13,46
2021-11-15,8
2021-11-16,8
2021-11-17,9
2021-11-18,12
2021-11-19,2
2021-11-22,3
2021-11-23,1
2021-11-24,5
2021-11-25,2
2021-11-26,15
2021-11-27,17
2021-11-29,2
2021-11-30,14
2021-12-01,5
2021-12-02,4
2021-12-03,15
2021-12-04,12
2021-12-06,2
2021-12-07,6
2021-12-08,8
2021-12-09,9
2021-12-10,5
2021-12-11,1
2021-12-14,2
2021-12-15,5
2021-12-18,1
2021-12-21,13
2021-12-22,18
2021-12-23,1
2021-12-24,3
2021-12-27,4
2021-12-28,1
2021-12-31,30
2022-01-04,10
2022-01-05,5
2022-01-10,3
2022-01-11,4
2022-01-12,10
2022-01-13,2
2022-01-14,5
2022-01-17,10
2022-04-07,3
2022-10-25,6
2022-10-28,12
2022-11-12,4
2022-11-15,1
2022-11-16,3
2022-12-01,2
2022-12-13,3
2022-12-14,2
2022-12-21,1
2022-12-22,1
2022-12-23,1
